iter	Passed	Remaining
0	4	13344
1	7	11167
2	10	10313
3	13	10273
4	17	10401
5	19	9959
6	22	9620
7	25	9380
8	28	9320
9	32	9739
10	35	9527
11	37	9366
12	40	9323
13	43	9357
14	47	9357
15	49	9322
16	53	9304
17	56	9340
18	59	9349
19	61	9235
20	65	9245
21	68	9230
22	71	9200
23	73	9163
24	77	9173
25	79	9117
26	83	9151
27	85	9082
28	88	9057
29	91	9086
30	94	9057
31	98	9141
32	101	9100
33	103	9063
34	106	9035
35	110	9065
36	113	9084
37	117	9125
38	119	9076
39	122	9045
40	125	9059
41	128	9030
42	130	8993
43	133	8986
44	137	9001
45	140	9018
46	143	9004
47	146	8984
48	148	8950
49	152	8974
50	154	8945
51	158	8973
52	161	8985
53	164	8956
54	166	8929
55	170	8946
56	173	8968
57	176	8945
58	178	8914
59	182	8937
60	185	8952
61	188	8928
62	191	8907
63	194	8912
64	197	8931
65	201	8937
66	203	8911
67	206	8912
68	209	8903
69	212	8900
70	215	8872
71	217	8854
72	220	8859
73	224	8880
74	226	8852
75	229	8830
76	231	8805
77	235	8810
78	237	8798
79	241	8803
80	243	8776
81	246	8756
82	248	8737
83	250	8713
84	253	8695
85	255	8672
86	259	8674
87	262	8679
88	265	8682
89	268	8672
90	270	8660
91	273	8643
92	275	8625
93	279	8628
94	282	8627
95	285	8622
96	287	8607
97	290	8589
98	292	8578
99	295	8566
100	298	8553
101	300	8548
102	304	8572
103	307	8556
104	310	8561
105	313	8548
106	316	8567
107	320	8577
108	323	8576
109	325	8561
110	328	8549
111	331	8538
112	334	8534
113	336	8522
114	339	8527
115	342	8513
116	345	8515
117	349	8524
118	351	8507
119	354	8511
120	358	8518
121	361	8521
122	364	8518
123	366	8503
124	374	8612
125	379	8654
126	383	8681
127	388	8712
128	392	8742
129	395	8741
130	398	8727
131	401	8716
132	403	8698
133	406	8685
134	408	8675
135	411	8674
136	415	8682
137	419	8689
138	422	8686
139	425	8691
140	428	8696
141	431	8693
